Record Length,Analog:10000000
Sample Rate,5000000.0
Vertical Scale,CH1:+1.000000E+001
Vertical Offset,CH1:-4.066666E+001
Horizontal Scale,+2.000000E-001
Second,Volt,
-1.979176E-001,+4.583308E-001,
-1.979174E-001,+4.583308E-001,
-1.979172E-001,+4.791641E-001,
-1.979170E-001,+4.166641E-001,
-1.979168E-001,+4.791641E-001,
-1.979166E-001,+4.999975E-001,
-1.979164E-001,+4.583308E-001,
-1.979162E-001,+4.583308E-001,
-1.979160E-001,+4.583308E-001,
-1.979158E-001,+4.791641E-001,
-1.979156E-001,+4.791641E-001,
-1.979154E-001,+4.374975E-001,
-1.979152E-001,+3.958308E-001,
-1.979150E-001,+4.166641E-001,
-1.979148E-001,+4.583308E-001,
-1.979146E-001,+3.749975E-001,
-1.979144E-001,+4.583308E-001,
-1.979142E-001,+3.958308E-001,
-1.979140E-001,+4.374975E-001,
-1.979138E-001,+4.166641E-001,
-1.979136E-001,+4.583308E-001,
-1.979134E-001,+4.374975E-001,
-1.979132E-001,+4.166641E-001,
-1.979130E-001,+5.208308E-001,
-1.979128E-001,+4.583308E-001,
-1.979126E-001,+4.374975E-001,
-1.979124E-001,+4.374975E-001,
-1.979122E-001,+4.791641E-001,
-1.979120E-001,+4.791641E-001,
-1.979118E-001,+4.166641E-001,
-1.979116E-001,+4.999975E-001,
-1.979114E-001,+4.166641E-001,
-1.979112E-001,+4.374975E-001,
-1.979110E-001,+4.166641E-001,
-1.979108E-001,+4.791641E-001,
-1.979106E-001,+4.583308E-001,
-1.979104E-001,+4.374975E-001,
-1.979102E-001,+4.583308E-001,
-1.979100E-001,+4.374975E-001,
-1.979098E-001,+3.958308E-001,
-1.979096E-001,+4.374975E-001,
-1.979094E-001,+4.166641E-001,
-1.979092E-001,+4.583308E-001,
-1.979090E-001,+4.791641E-001,
-1.979088E-001,+4.791641E-001,
-1.979086E-001,+4.374975E-001,
-1.979084E-001,+4.791641E-001,
-1.979082E-001,+4.583308E-001,
-1.979080E-001,+4.166641E-001,
-1.979078E-001,+4.583308E-001,
-1.979076E-001,+4.374975E-001,
-1.979074E-001,+4.374975E-001,
-1.979072E-001,+4.166641E-001,
-1.979070E-001,+4.374975E-001,
-1.979068E-001,+3.958308E-001,
-1.979066E-001,+4.374975E-001,
-1.979064E-001,+4.374975E-001,
-1.979062E-001,+4.583308E-001,
-1.979060E-001,+3.958308E-001,
-1.979058E-001,+4.374975E-001,
-1.979056E-001,+4.583308E-001,
-1.979054E-001,+3.958308E-001,
-1.979052E-001,+4.166641E-001,
-1.979050E-001,+4.583308E-001,
-1.979048E-001,+4.791641E-001,
-1.979046E-001,+4.999975E-001,
-1.979044E-001,+4.374975E-001,
-1.979042E-001,+4.791641E-001,
-1.979040E-001,+4.791641E-001,
-1.979038E-001,+4.583308E-001,
-1.979036E-001,+4.791641E-001,
-1.979034E-001,+4.791641E-001,
-1.979032E-001,+4.166641E-001,
-1.979030E-001,+4.166641E-001,
-1.979028E-001,+4.583308E-001,
-1.979026E-001,+4.791641E-001,
-1.979024E-001,+4.166641E-001,
-1.979022E-001,+4.374975E-001,
-1.979020E-001,+4.791641E-001,
-1.979018E-001,+4.583308E-001,
-1.979016E-001,+4.791641E-001,
-1.979014E-001,+4.583308E-001,
-1.979012E-001,+4.166641E-001,
-1.979010E-001,+4.583308E-001,
-1.979008E-001,+4.166641E-001,
-1.979006E-001,+3.749975E-001,
-1.979004E-001,+4.999975E-001,
-1.979002E-001,+4.374975E-001,
-1.979000E-001,+4.374975E-001,
-1.978998E-001,+4.791641E-001,
-1.978996E-001,+4.583308E-001,
-1.978994E-001,+4.583308E-001,
-1.978992E-001,+4.166641E-001,
-1.978990E-001,+4.583308E-001,
-1.978988E-001,+4.999975E-001,
-1.978986E-001,+3.958308E-001,
-1.978984E-001,+4.583308E-001,
-1.978982E-001,+4.374975E-001,
-1.978980E-001,+4.999975E-001,
-1.978978E-001,+4.583308E-001,
-1.978976E-001,+3.958308E-001,
-1.978974E-001,+4.583308E-001,
-1.978972E-001,+4.166641E-001,
-1.978970E-001,+4.166641E-001,
-1.978968E-001,+4.583308E-001,
-1.978966E-001,+4.374975E-001,
-1.978964E-001,+4.583308E-001,
-1.978962E-001,+4.791641E-001,
-1.978960E-001,+4.791641E-001,
-1.978958E-001,+4.374975E-001,
-1.978956E-001,+4.791641E-001,
-1.978954E-001,+4.791641E-001,
-1.978952E-001,+4.374975E-001,
-1.978950E-001,+4.166641E-001,
-1.978948E-001,+4.166641E-001,
-1.978946E-001,+4.166641E-001,
-1.978944E-001,+4.791641E-001,
-1.978942E-001,+4.374975E-001,
-1.978940E-001,+4.583308E-001,
-1.978938E-001,+4.791641E-001,
-1.978936E-001,+5.208308E-001,
-1.978934E-001,+3.958308E-001,
-1.978932E-001,+4.791641E-001,
-1.978930E-001,+4.791641E-001,
-1.978928E-001,+4.374975E-001,
-1.978926E-001,+4.374975E-001,
-1.978924E-001,+4.166641E-001,
-1.978922E-001,+4.791641E-001,
-1.978920E-001,+4.791641E-001,
-1.978918E-001,+4.374975E-001,
-1.978916E-001,+4.791641E-001,
-1.978914E-001,+4.374975E-001,
-1.978912E-001,+4.583308E-001,
-1.978910E-001,+4.791641E-001,
-1.978908E-001,+4.374975E-001,
-1.978906E-001,+4.374975E-001,
-1.978904E-001,+4.374975E-001,
-1.978902E-001,+4.583308E-001,
-1.978900E-001,+4.791641E-001,
-1.978898E-001,+4.999975E-001,
-1.978896E-001,+4.583308E-001,
-1.978894E-001,+4.166641E-001,
